experiment,stage,epoch,train_loss,train_acc,train_f1,train_recall,val_loss,val_acc,val_f1,val_recall,test_accuracy,test_f1,test_recall,status
augmentation,train,7,0.8035,0.7024,0.3164,0.2973,0.8002,0.7213,0.2944,0.2724,,,,GOOD FIT
augmentation,train,8,0.7697,0.7157,0.3681,0.3457,0.8276,0.7258,0.382,0.3765,,,,UNDERFITTING
augmentation,train,9,0.7676,0.7178,0.3675,0.3446,0.7766,0.7278,0.3468,0.3287,,,,GOOD FIT
augmentation,train,10,0.7509,0.7282,0.3993,0.3777,0.759,0.7148,0.3273,0.3083,,,,GOOD FIT
augmentation,train,11,0.7392,0.7294,0.3988,0.3727,0.7464,0.7428,0.3277,0.3206,,,,GOOD FIT
augmentation,train,12,0.7304,0.7329,0.422,0.3918,0.7201,0.7454,0.3539,0.3599,,,,GOOD FIT
augmentation,train,13,0.7158,0.7365,0.4274,0.406,0.7562,0.7037,0.4336,0.4219,,,,UNDERFITTING
augmentation,train,14,0.7063,0.7398,0.4252,0.4055,0.74,0.752,0.4173,0.3771,,,,GOOD FIT
augmentation,train,15,0.6929,0.7464,0.448,0.424,0.6842,0.7513,0.4278,0.4114,,,,GOOD FIT
augmentation,train,16,0.6886,0.7528,0.4583,0.432,1.5868,0.7239,0.3393,0.3877,,,,GOOD FIT
augmentation,train,17,0.6726,0.7514,0.452,0.433,1.1046,0.7448,0.4069,0.4338,,,,GOOD FIT
augmentation,train,18,0.6659,0.7569,0.4735,0.4471,0.7154,0.7552,0.462,0.5007,,,,GOOD FIT
augmentation,train,19,0.6589,0.7651,0.4969,0.4741,0.7075,0.765,0.4516,0.4565,,,,GOOD FIT
augmentation,train,20,0.6637,0.7638,0.4901,0.4665,0.6642,0.7696,0.4542,0.412,,,,GOOD FIT
augmentation,train,21,0.6492,0.7659,0.5008,0.4802,0.6966,0.7722,0.4834,0.4539,,,,GOOD FIT
augmentation,train,22,0.6382,0.7675,0.5075,0.4782,0.6888,0.7422,0.4743,0.4636,,,,GOOD FIT
augmentation,train,23,0.6308,0.7736,0.5294,0.5021,0.7183,0.7565,0.4769,0.4842,,,,GOOD FIT
augmentation,train,24,0.6241,0.7759,0.5206,0.4946,0.7274,0.7565,0.4557,0.4264,,,,GOOD FIT
augmentation,train,25,0.6277,0.7686,0.5188,0.4967,0.6762,0.7644,0.4434,0.3994,,,,GOOD FIT
augmentation,test,final,,,,,,,,,0.7677,0.46,0.4476,FINAL
hybrid_augmentation,train,1,1.2397,0.6491,0.2355,0.2326,0.96,0.7023,0.2165,0.2116,,,,GOOD FIT
hybrid_augmentation,train,2,0.8783,0.6981,0.2396,0.2362,0.8157,0.72,0.2148,0.2191,,,,GOOD FIT
hybrid_augmentation,train,3,0.8376,0.7024,0.2432,0.2381,0.8058,0.7141,0.2601,0.2729,,,,UNDERFITTING
hybrid_augmentation,train,4,0.815,0.7129,0.2734,0.2624,0.8083,0.7258,0.2569,0.2535,,,,GOOD FIT
hybrid_augmentation,train,5,0.7933,0.7112,0.2889,0.2726,0.7528,0.7409,0.3532,0.3436,,,,UNDERFITTING
hybrid_augmentation,train,6,0.7829,0.7145,0.2907,0.2749,0.8061,0.7219,0.2272,0.227,,,,GOOD FIT
hybrid_augmentation,train,7,0.7651,0.7131,0.298,0.2799,0.7389,0.7422,0.3143,0.2922,,,,UNDERFITTING
hybrid_augmentation,train,8,0.7529,0.7169,0.3202,0.3009,0.7716,0.7317,0.2988,0.2828,,,,GOOD FIT
hybrid_augmentation,train,9,0.7306,0.7335,0.3729,0.3445,0.7192,0.7585,0.4045,0.3637,,,,UNDERFITTING
hybrid_augmentation,train,10,0.7232,0.7365,0.4087,0.377,0.7521,0.7474,0.3766,0.3268,,,,GOOD FIT
hybrid_augmentation,train,11,0.7071,0.7399,0.4127,0.3885,0.713,0.765,0.4233,0.3845,,,,UNDERFITTING
hybrid_augmentation,train,12,0.7048,0.7361,0.4134,0.3899,0.7024,0.7624,0.4063,0.3858,,,,GOOD FIT
hybrid_augmentation,train,13,0.6931,0.7438,0.4211,0.3967,0.7117,0.7513,0.3933,0.3534,,,,GOOD FIT
hybrid_augmentation,train,14,0.678,0.7485,0.4391,0.4191,0.6957,0.7637,0.4276,0.3901,,,,GOOD FIT
hybrid_augmentation,train,15,0.6687,0.7496,0.4527,0.429,0.6966,0.7578,0.393,0.3538,,,,GOOD FIT
hybrid_augmentation,train,16,0.6662,0.7581,0.4452,0.4233,0.7396,0.7637,0.4017,0.3939,,,,GOOD FIT
hybrid_augmentation,train,17,0.6574,0.7586,0.4633,0.4424,0.6859,0.7728,0.4405,0.4105,,,,GOOD FIT
hybrid_augmentation,train,18,0.6504,0.7582,0.4663,0.4448,0.6715,0.7683,0.4699,0.4752,,,,UNDERFITTING
hybrid_augmentation,train,19,0.6442,0.7692,0.477,0.4571,0.6551,0.7611,0.4235,0.4007,,,,GOOD FIT
hybrid_augmentation,train,20,0.6433,0.7665,0.4846,0.4654,0.6779,0.7533,0.4101,0.4138,,,,GOOD FIT
hybrid_augmentation,train,21,0.6366,0.7624,0.4778,0.4582,0.6873,0.7657,0.4133,0.3956,,,,GOOD FIT
hybrid_augmentation,train,22,0.6301,0.7698,0.4859,0.4614,0.6533,0.765,0.4664,0.4617,,,,GOOD FIT
hybrid_augmentation,train,23,0.6282,0.7685,0.5034,0.4768,0.6555,0.7781,0.4859,0.4646,,,,GOOD FIT
hybrid_augmentation,train,24,0.6175,0.7751,0.5004,0.478,0.6382,0.7755,0.464,0.4513,,,,GOOD FIT
hybrid_augmentation,train,25,0.621,0.7749,0.5089,0.4877,0.6848,0.7715,0.4099,0.3638,,,,GOOD FIT
hybrid_augmentation,test,final,,,,,,,,,0.7846,0.5008,0.4896,FINAL
contrast_hybrid_augmentation,train,1,1.2174,0.6518,0.2322,0.2301,0.9909,0.7206,0.2126,0.2301,,,,GOOD FIT
contrast_hybrid_augmentation,train,2,0.8894,0.6964,0.2292,0.2274,0.9537,0.671,0.2712,0.3346,,,,UNDERFITTING
contrast_hybrid_augmentation,train,3,0.8492,0.7042,0.2332,0.2321,0.7941,0.7232,0.2292,0.2356,,,,GOOD FIT
contrast_hybrid_augmentation,train,4,0.819,0.7042,0.2489,0.2441,0.7746,0.7356,0.2846,0.2852,,,,UNDERFITTING
contrast_hybrid_augmentation,train,5,0.8094,0.7039,0.2676,0.2547,0.8168,0.7174,0.33,0.3729,,,,UNDERFITTING
contrast_hybrid_augmentation,train,6,0.7941,0.7094,0.2856,0.2676,0.789,0.7174,0.2488,0.2461,,,,GOOD FIT
contrast_hybrid_augmentation,train,7,0.7849,0.7028,0.2812,0.2631,0.8041,0.7285,0.2691,0.254,,,,GOOD FIT
contrast_hybrid_augmentation,train,8,0.7708,0.7185,0.2988,0.2822,0.7882,0.7272,0.2729,0.277,,,,GOOD FIT
contrast_hybrid_augmentation,train,9,0.7486,0.7234,0.3554,0.3263,0.84,0.7265,0.2723,0.2534,,,,GOOD FIT
contrast_hybrid_augmentation,train,10,0.7437,0.7248,0.3658,0.3394,0.7128,0.765,0.4384,0.4008,,,,UNDERFITTING
contrast_hybrid_augmentation,train,11,0.7195,0.7359,0.4075,0.3801,0.737,0.7513,0.35,0.3248,,,,GOOD FIT
contrast_hybrid_augmentation,train,12,0.7135,0.7362,0.4028,0.3739,0.6992,0.7644,0.4212,0.3799,,,,UNDERFITTING
contrast_hybrid_augmentation,train,13,0.7037,0.7461,0.4257,0.3993,0.728,0.7415,0.4289,0.4163,,,,UNDERFITTING
